.mw-parser-output .hidden-begin{box-sizing:border-box;width:100%;padding:5px;border:none;font-size:95%}.mw-parser-output .hidden-title{font-weight:bold;line-height:1.6;text-align:left}.mw-parser-output .hidden-content{text-align:left}Country or territory (Territories without full sovereignty in italics) [a],Total length of land borders,Total length of land borders,No. of distinct land borders,No. of distinct land neighbours,Land border neighbours and border length (Territories without full sovereignty in italics) [a] (#) = No. of distinct land boundaries with that country or territory
.mw-parser-output .hidden-begin{box-sizing:border-box;width:100%;padding:5px;border:none;font-size:95%}.mw-parser-output .hidden-title{font-weight:bold;line-height:1.6;text-align:left}.mw-parser-output .hidden-content{text-align:left}Country or territory (Territories without full sovereignty in italics) [a],km[b],mi,No. of distinct land borders,No. of distinct land neighbours,Land border neighbours and border length (Territories without full sovereignty in italics) [a] (#) = No. of distinct land boundaries with that country or territory
Iraq,3650.0,2270,6,6,"Iran: 1,458 km (906 mi)  Jordan: 181 km (112 mi)  Kuwait: 240 km (150 mi)  Saudi Arabia: 814 km (506 mi)  Syria: 605 km (376 mi)  Turkey: 352 km (219 mi)"
Ireland,499.0,310,1,1,United Kingdom: 499 km (310 mi)
Israel,1017.0,632,4,5,Egypt: 266 km (165 mi)  Gaza Strip (State of Palestine):[v] 51 km (32 mi)  Jordan: 238 km (148 mi)  Lebanon: 79 km (49 mi)  Syria: 76 km (47 mi)  West Bank (state of Palestine):[v] 307 km (191 mi)
Italy,1932.0,1200,7,6,Austria: 430 km (270 mi)  France: 488 km (303 mi)  San Marino: 39 km (24 mi)  Slovenia: 232 km (144 mi)  Switzerland (2):[ad] 740 km (460 mi)  Vatican City: 3.2 km (2.0 mi)
Jamaica,0.0,0,0,0,
Japan,0.0,0,0,0,
Jordan,1635.0,1016,5,5,Iraq: 181 km (112 mi)  Israel: 238 km (148 mi)  Saudi Arabia: 744 km (462 mi)  Syria: 375 km (233 mi)  West Bank (State of Palestine):[v] 97 km (60 mi)
Kazakhstan,12012.0,7464,5,5,"People's Republic of China: 1,533 km (953 mi)  Kyrgyzstan: 1,051 km (653 mi)  Russia: 6,846 km (4,254 mi)  Turkmenistan: 379 km (235 mi)  Uzbekistan: 2,203 km (1,369 mi)"
Kenya,3477.0,2161,5,5,Ethiopia: 861 km (535 mi)  Somalia: 682 km (424 mi)  South Sudan: 232 km (144 mi)  Tanzania: 769 km (478 mi)  Uganda: 933 km (580 mi)
Kiribati,0.0,0,0,0,
North Korea,1673.0,1040,3,3,"People's Republic of China: 1,416 km (880 mi)  South Korea: 238 km (148 mi)  Russia: 19 km (12 mi)"
South Korea,238.0,148,1,1,North Korea: 238 km (148 mi)
Kosovo[c],701.0,436,4,4,Albania: 112 km (70 mi)  Montenegro: 79 km (49 mi)  North Macedonia: 159 km (99 mi)  Serbia: 352 km (219 mi)
Kuwait,462.0,287,2,2,Iraq: 240 km (150 mi)  Saudi Arabia: 222 km (138 mi)
Kyrgyzstan,3878.0,2410,11,4,"People's Republic of China: 858 km (533 mi)  Kazakhstan: 1,051 km (653 mi)  Tajikistan (3):[ae] 870 km (540 mi)  Uzbekistan (6):[af] 1,099 km (683 mi)"
Laos,5083.0,3158,5,5,"Cambodia: 541 km (336 mi)  People's Republic of China: 423 km (263 mi)  Myanmar: 235 km (146 mi)  Thailand: 1,754 km (1,090 mi)  Vietnam: 2,130 km (1,320 mi)"
Latvia,1150.0,710,4,4,Belarus: 141 km (88 mi)  Estonia: 339 km (211 mi)  Lithuania: 453 km (281 mi)  Russia: 217 km (135 mi)
Lebanon,454.0,282,2,2,Israel: 79 km (49 mi)  Syria: 375 km (233 mi)
Lesotho,909.0,565,1,1,South Africa: 909 km (565 mi)
Liberia,1585.0,985,3,3,Guinea: 563 km (350 mi)  Côte d'Ivoire: 716 km (445 mi)  Sierra Leone: 306 km (190 mi)
Libya,4348.0,2702,6,6,"Algeria: 982 km (610 mi)  Chad: 1,055 km (656 mi)  Egypt: 1,115 km (693 mi)  Niger: 354 km (220 mi)  Sudan: 383 km (238 mi)  Tunisia: 459 km (285 mi)"
Liechtenstein,76.0,47,2,2,Austria: 34 km (21 mi)  Switzerland: 41 km (25 mi)
Lithuania,1273.0,791,4,4,Belarus: 502 km (312 mi)  Latvia: 453 km (281 mi)  Poland: 91 km (57 mi)  Russia:[ag] 227 km (141 mi)
Luxembourg,359.0,223,3,3,Belgium: 148 km (92 mi)  France: 73 km (45 mi)  Germany: 138 km (86 mi)
Macau[ah] (People's Republic of China),0.34,0.21,1,1,People's Republic of China: 0.34 km (0.21 mi)
Madagascar,0.0,0,0,0,
Madeira[ai] (Portugal),0.0,0,0,0,
Malawi,2881.0,1790,3,3,"Mozambique: 1,569 km (975 mi)  Tanzania: 475 km (295 mi)  Zambia: 837 km (520 mi)"
Malaysia,3147.0,1955,4,3,"Brunei (2): 381 km (237 mi)  Indonesia: 1,782 km (1,107 mi)  Thailand: 506 km (314 mi)"
Maldives,0.0,0,0,0,
